case_title,case_number,section,entity_text,entity_label
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 19,702",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 21,045",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 3,627.99",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 3,921",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 4,278",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 4,670",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,2003,Date
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,tender 1,Event
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,conclusions,Kosovo,Location
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,conclusions,1999/2,Date
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,conclusions,case 286/04,Case Number
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,recommendations,airport staff,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,recommendations,procurement activity,Activity
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,recommendations,procurement regulations,Regulation
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,recommendations,bidding company,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,introduction,Pristina International Airport,ORG
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,introduction,28 February 2003,DATE
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,introduction,UNMIK,ORG
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,introduction,1999/2,REGULATION
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,Pristina Airport,Location
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,Kosovo,Location
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,UNMIK,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,PEAP,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,Doti,Person
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,CPE,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,ITF,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,October 2001,Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"January 31, 2001",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"April 5, 2001",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"September 11, 2001",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"August 2, 2001",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"June 27, 2001",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"October 17, 2001",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"September 18, 2003",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,"August 25, 2002",Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,UNMIK,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,Kosovo,Location
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,12 December 1999,Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,22 March 1989,Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,United Nations,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,methodology,2003/16,Date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,methodology,Pristina,Location
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,methodology,Pillar IV,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Pristina International Airport,Location
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Yugoslavian,Nationality
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Kosovo Force (KFOR),Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,United Nations Security Council,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,UNMIK,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Kosovo,Location
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Department of Transport Infrastructure (Doti),Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Civil Administration Pillar II,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Kosovo Trust Agency (KTA),Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Air Traffic Control Services (ATCS),Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,United Nations,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Pillar IV,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,UNMIK,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Kosovo,Location
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Doti Official 2,Person
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Doti Official 1,Person
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Tender Evaluation Committee,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Channel Office,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,unmik,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,legal advice,Service
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,public procurement regulation,Regulation
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,dpko,Organization
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,doti,Official
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,monuc,Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,28 February 2003,DATE
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina International Airport,ORG
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Chartered Accountants,ORG
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina Airport,ORG
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,landing fee,MISC
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,commercial flight,MISC
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,airline,MISC
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,LOCATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,January 2001,DATE
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,December 2001,DATE
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,21,NUMBER
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,"€ 7,341,163",MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,"€ 7,376,182",MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,"dm 14,357,949",MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,dm 2190,MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,dm 2888,MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,25 dm,MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,"€ 4,799,395",MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,"€ 4,919,190",MONEY
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,1 February 2001,DATE
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,IATA,ORGANIZATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Airline 1,ORGANIZATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Airline 2,ORGANIZATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Airline 3,ORGANIZATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Airline 4,ORGANIZATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Airline 5,ORGANIZATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Airline 6,ORGANIZATION
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,UNMIK,Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,1999/24,Regulation
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,12 December 1999,Date
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,Kosovo,Location
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,Secretary General,Title
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,SRSG,Title
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,22 March 1989,Date
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,United Nations,Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,methodology,2003/16,Date
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,methodology,Pristina Airport Administration,Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,methodology,Pillar IV,Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Pristina International Airport,Location
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Yugoslavian,Nationality
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Kosovo Force (KFOR),Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,United Nations Security Council Resolution 1244,Legal Document
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,UNMIK,Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Kosovo,Location
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Department of Transport Infrastructure (DOTI),Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,United Nations,Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Kosovo Trust Agency (KTA),Organization
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Air Traffic Control Services (ATCS),Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,Pristina Airport,Location
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,Kosovo Police Service,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,Airport Official,Title
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,Task Force ITF,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,Non Staff Member 1,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,High Rank Pristina Airport Employee,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,pristina airport,Location
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,"€ 7,000.00",Monetary
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,"€ 10.000,00",Monetary
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,"€ 5.000,00",Monetary
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,"€ 1.000,00",Monetary
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,€ 180,Monetary
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,€ 225,Monetary
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,€ 190,Monetary
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,kps officer 2,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 1,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 2,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 3,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,official 1,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,official 2,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,official 3,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,official 4,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,official 5,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 4,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 5,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 6,Person
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,hajvali,Location
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,hamburger sandwich stand,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,clothing boutique,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,itf,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,kps,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,applicable_laws_and_procedural_rules,department of justice,ORG
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,applicable_laws_and_procedural_rules,24 september 2004,DATE
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,applicable_laws_and_procedural_rules,itf,ORG
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,case 2l5/04,Case Number
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,employment,Employment
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,airport,Location
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,marriage,Personal Relationship
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,reputation,Concept
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,conclusions,itf,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,conclusions,department justice,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,conclusions,24 september 2004,Date
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,itf,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,international prosecutor,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,financial investigation unit,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,unmik,Organization
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,pillar iv,Concept
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,pristina,Location
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,department of justice,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Kosovo Trust Agency,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,IAU,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Pristina Airport,Location
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 1,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 2,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Finance Officer,Person
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Procurement Officer 1,Person
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,ITF,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Summer Uniform,Product
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Winter Uniform,Product
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Competitive Tender,Event
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Bid Evaluation Committee,Event
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,Job Title
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,itf,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,committee,Group
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,finance officer,Job Title
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,pristina airport official,Job Title
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,kta,Organization
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,finance department,Department
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,kosovo,Location
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,vendor 1,Vendor
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,vendor 2,Vendor
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,ministry finance,Government
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,ministry transportation,Government
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,kosovo minister,Job Title
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,bribery,Crime
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,summer uniform,Product
