case_title,case_number,section,source,target,relationship
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,unmik,public procurement regulation,ensures compliance with
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,dpko,doti,takes appropriate action regarding
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,doti,monuc,serves in relation to
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,28 February 2003,Pristina International Airport,audit report date
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina International Airport,Chartered Accountants,conduct investigation
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina International Airport,commercial flight,handle landing fee service
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina Airport,landing fee,service employee fail account money pay
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,landing fee,airline,allocate landing slot
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 1,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 2,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 3,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 4,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 5,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 6,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,January 2001,December 2001,period during which allegations of corruption arose
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,21,Airline 1,total number of airlines operating at Pristina Airport
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,"€ 4,799,395","€ 4,919,190",stated income figure compared to actual income figure
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,UNMIK,United Nations,is an organization established under the United Nations
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,1999/24,12 December 1999,is the regulation promulgated on this date
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,Kosovo,1999/24,is the location to which the regulation applies
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,Secretary General,SRSG,is the title held by the Special Representative of the Secretary General
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,methodology,2003/16,Pristina Airport Administration,establishment of investigation task force
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,methodology,2003/16,Pillar IV,involvement in inquiry
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Pristina International Airport,Kosovo Force (KFOR),operational cooperation
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,United Nations Security Council Resolution 1244,UNMIK,mandate to administer territory
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Department of Transport Infrastructure (DOTI),UNMIK,supervision of airport operations
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Kosovo Trust Agency (KTA),Pristina International Airport,administration responsibility transfer
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Air Traffic Control Services (ATCS),Pristina International Airport,operational oversight
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,Non Staff Member 1,High Rank Pristina Airport Employee,paid kickback to obtain employment
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,introduction,Kosovo Police Service,Task Force ITF,involved in investigation
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 1,official 1,alleged request for employment at pristina airport
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 1,official 2,contact for employment assistance
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 1,non staff member 2,awareness of payment for employment
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 1,non staff member 3,awareness of payment for employment
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 1,kps officer 2,request for information regarding business connection
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 5,kps officer 2,wife of kps officer 2
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,investigation_details,non staff member 1,non staff member 4,connection through clothing boutique
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,applicable_laws_and_procedural_rules,department of justice,itf,conducting separate judicial investigation
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,applicable_laws_and_procedural_rules,itf,department of justice,continuing administrative investigation
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,case 2l5/04,employment,related to investigation of employment issues
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,employment,airport,employment at the airport is jeopardized
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,methodology,marriage,reputation,marriage is at risk due to reputation concerns
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,conclusions,itf,department justice,refers to
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,conclusions,itf,24 september 2004,date of action
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,itf,international prosecutor,recommends investigation
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,itf,financial investigation unit,refers case for investigation
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,itf,unmik,recommends administrative action
Allegations of Bribes/Kickbacks for Employment at Pristina Airport,377/04,recommendations,itf,department of justice,recommends criminal charges
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 1,Procurement Officer 1,allegation of bribery
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 1,Finance Officer,involvement in tender process
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 1,Vendor 2,competitors in tender process
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Procurement Officer 1,Bid Evaluation Committee,member replacement due to alleged violation
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,ITF,Procurement Officer 1,inquiry into allegations
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,finance officer,member of bid evaluation committee
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,pristina airport official,nominates finance officer to bid evaluation committee
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,pristina airport official,vendor 2,prefers vendor 2 for contract award
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,vendor 2,argues in favor of vendor 2 for contract award
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,kosovo minister,associates with vendor 2
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,pristina airport official,vendor 1,receives complaint regarding bribery
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,vendor 1,alleged bribery involvement
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,pristina airport official,vendor 1,awards contract for summer uniform
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 2,pristina airport official,transmits document for single source procurement
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,applicable_laws_and_procedural_rules,procurement officer 1,finance officer,accept bribe
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,applicable_laws_and_procedural_rules,procurement officer 1,vendor 2,favour in tender process
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,applicable_laws_and_procedural_rules,vendor 1,procurement officer 1,threaten
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,methodology,vendor 1,vendor 2,vendor 1 and vendor 2 submitted bids for the same procurement
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,methodology,vendor 2,vendor 1,vendor 2 was tentatively decided to be favored over vendor 1
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,methodology,vendor 1,airport,vendor 1 was awarded a contract to supply uniforms for the airport
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,methodology,vendor 2,airport,vendor 2 was involved in the bidding process for the airport's uniform supply
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,methodology,vendor 3,airport,vendor 3 was part of the competitive tender for the airport's uniform supply
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,background_information,procurement officer 1,vendor 2,allegedly accepted bribe from
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,background_information,finance officer,vendor 2,allegedly accepted bribe from
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,background_information,vendor 2 employee,vendor 2 manager,attended meeting with
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,background_information,vendor 2 manager,vendor 2 director,reported to
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,background_information,vendor 1 manager,vendor 2,rumored to have knowledge of
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,conclusions,procurement officer 1,vendor 2,allegation of accepting bribe
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,conclusions,finance officer,procurement officer 1,participation in committee nomination
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,conclusions,procurement officer 1,pristina airport official,favouring vendor 2 in tender process
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,conclusions,bid evaluation committee,committee member,membership in committee
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,recommendations,unmik,department of justice,provides report to assist investigation
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,recommendations,department of justice,financial investigation unit,collaborates in investigation
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,recommendations,financial investigation unit,pristina airport,investigates alleged payments related to
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,introduction,task force,itf,investigates
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,introduction,cargo manager,airline,employed by
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,introduction,cargo department,pristina airport,operates at
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,introduction,kfor,pristina airport,involved with
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,introduction,financial record commission,fraud,investigates
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,investigation_details,Pristina Airport,ITF,related to handling charges and invoices
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,investigation_details,Pristina Airport,VAT,involves tax payment for services
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,investigation_details,Pristina Airport,€ 0.12,represents handling charge per kg
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,investigation_details,April,Pristina Airport,refers to the month of invoice issuance
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,background_information,Pristina Airport,KFOR,handles mail on behalf of KFOR
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,background_information,Value Added Tax (VAT),Pristina Airport,is applicable to transactions involving Pristina Airport
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,others,mr. wolfgang nikolaus,itf,affiliated with
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,others,mr. mark gough,id oios,affiliated with
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,others,mr. wolfgang nikolaus,kosovo,located in
Alleged Fraud – Pristina Airport Cargo Department,ITF Case № 0261/04,others,mr. mark gough,vienna,located in
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,introduction,investigations division office internal oversight services,id oios,receives information related to procurement problems
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,introduction,unmik,directorate rural affairs,is associated with
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,introduction,directorate rural affairs,kosovo,operates in
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,introduction,bidder,letter,submits a complaint regarding
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,introduction,letter,bid evaluation selection process,addresses possible irregularity in
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,applicable_laws_and_procedural_rules,un,kcb,funding source
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,applicable_laws_and_procedural_rules,1999,kcb,year of public procurement regulation
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,background_information,directorate rural affairs,unmik,operates under the civil administration pillar II
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,background_information,department agriculture,directorate rural affairs,part of the joint administrative interim structure
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,background_information,security council resolution 1244,un,establishes the framework for the presence of the United Nations
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,recommendations,oios,unmik,recommends
Investigation into Alleged Irregularities in the Procurement of Personal Digital Assistants,0374/04,recommendations,dra,rec iv04/374/01,related to
Report of Investigation,0049-04,introduction,investigation task force,ITF,abbreviation
Report of Investigation,0049-04,introduction,air traffic control services,Prishtina International Airport,operates at
Report of Investigation,0049-04,introduction,forensic audit report,public enterprise airport prishtina,investigates
Report of Investigation,0049-04,introduction,Kosovo Trust Agency,UNMIK,administers
Report of Investigation,0049-04,introduction,UNMIK,Pillar IV,part of
Report of Investigation,0049-04,introduction,Pillar IV,European Union,collaborates with
Report of Investigation,0049-04,introduction,Provisional Institutions of Self-Government,PISG,abbreviation
Report of Investigation,0049-04,introduction,independent body office,constitutional framework,established pursuant to
Report of Investigation,0049-04,introduction,Provisional Self-Government,constitutional framework,related to
Report of Investigation,0049-04,introduction,date 21 October 2003,establishment investigation task force,date of
Report of Investigation,0049-04,investigation_details,ATCS,UNMIK,ATCS was under the supervision of UNMIK during the period of financial operations.
Report of Investigation,0049-04,investigation_details,ATCS,KTA,ATCS transitioned to KTA management after UNMIK's oversight.
Report of Investigation,0049-04,investigation_details,Italy,United Kingdom,Both locations were involved in the travel training of ATCS staff.
Report of Investigation,0049-04,investigation_details,ATCS,ITF,ITF conducted interviews with ATCS finance officers regarding financial practices.
Report of Investigation,0049-04,applicable_laws_and_procedural_rules,United Nations,Security Council,governing body
Report of Investigation,0049-04,applicable_laws_and_procedural_rules,Security Council,Resolution 1244,adopted
Report of Investigation,0049-04,applicable_laws_and_procedural_rules,United Nations,United Nations Interim Administration Mission in Kosovo,established
Report of Investigation,0049-04,applicable_laws_and_procedural_rules,United Nations Interim Administration Mission in Kosovo,UNMIK,also known as
Report of Investigation,0049-04,applicable_laws_and_procedural_rules,UNMIK,1999/1,regulation issued
Report of Investigation,0049-04,applicable_laws_and_procedural_rules,Kosovo,KTA,administrative authority
Report of Investigation,0049-04,applicable_laws_and_procedural_rules,KTA,2001/27,regulation issued
Report of Investigation,0049-04,methodology,ITF,ATCS,investigates cash withdrawal procedures related to ATCS staff
Report of Investigation,0049-04,methodology,Prishtina Airport,ITF,officials from Prishtina Airport are interviewed by ITF investigators
Report of Investigation,0049-04,methodology,Prishtina Airport,ATCS,ATCS staff manage operations at Prishtina Airport
Report of Investigation,0049-04,background_information,prishtina airport,bank account,related to financial matters involving cash withdrawals
Report of Investigation,0049-04,background_information,new division manager,prishtina airport,appointed overall responsibility for airport sector
Report of Investigation,0049-04,background_information,finance officer 1,finance officer 2,supervise and work together in finance office
Report of Investigation,0049-04,background_information,forensic audit report,air travel,highlights travel expenses related to ATCS officials
Report of Investigation,0049-04,conclusions,unmik,KTA,employer
Report of Investigation,0049-04,conclusions,KTA,ATCS,supervises
Report of Investigation,0049-04,conclusions,Kosovo,Prishtina Airport,location of
Report of Investigation,0049-04,conclusions,2001/27,paragraph 9.3,references
Report of Investigation,0049-04,conclusions,2001/27,paragraph 11,references
Report of Investigation,0049-04,conclusions,paragraph 11,11.3,includes
Report of Investigation,0049-04,conclusions,paragraph 11,11.4,includes
Report of Investigation,0049-04,recommendations,UNMIK,Prishtina Airport,oversight and management recommendations
Report of Investigation,0049-04,recommendations,ATCS,Prishtina Airport,financial management and oversight
Report of Investigation,0049-04,recommendations,Airport Steering Committee,Prishtina Airport,review and oversight of travel policies
Report of Investigation,0049-04,recommendations,ITF,Prishtina Airport,monitoring implementation of recommendations
Report of Investigation,0049-04,recommendations,01 July 2002,Prishtina Airport,date of financial claims evaluation
Report of Investigation ID CASE NO. 0580/03,0580/03,introduction,united nations,unod,is an organization that is part of the United Nations
Report of Investigation ID CASE NO. 0580/03,0580/03,introduction,united nations,united nations development programme,is an organization that is part of the United Nations
Report of Investigation ID CASE NO. 0580/03,0580/03,introduction,unod,united nations development programme,is an organization that collaborates with the United Nations
Report of Investigation ID CASE NO. 0580/03,0580/03,introduction,united nations development programme,bratislava,has operations in
Report of Investigation ID CASE NO. 0580/03,0580/03,introduction,bratislava,slovakia,is a city in
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,UNDP,Bratislava,operates in
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,UNDP,Slovakia,is located in
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,OIOS,UNDP,audits
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,UNON,UNEP,collaborates with
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,UNEP,UNON,collaborates with
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,UNDP,OIOS,is audited by
